cod_exp,num_proc,dependencia,unidad_comp,correo,nombre_procedimiento,tipo_proc,entidad_fed,anio_ej,proc_exc,fecha_pub,claves_list,part_testigo,abastecimiento_sim,plurianual,tipo_cont,anticipo,forma_pago,plazo_garant,meses_garant,garant_cump,caracter,caso_fort ,tipo_cont_abierto,uri,scrapped_day
E-2024-00114409,LA-07-110-007000999-T-91-2025,007000 - SECRETARIA DE LA DEFENSA NACIONAL,007000999 SUBDIRECCIÓN DE ADQUISICIONES,jucuahutlej@sedena.gob.mx,ADQUISICION DE INSUMOS PARA LA SALUD REPRODUCTIVA,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2025,NO,13/12/2024 13:17,"22301,23801,25101,25301,25401,25501",NO,NO,NO,ADQUISICIONES,NO,CONFORME A LAS BASES DEL PROCEDIMIENTO,10,12,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
E-2024-00114420,LA-07-110-007000999-T-92-2025,007000 - SECRETARIA DE LA DEFENSA NACIONAL,007000999 SUBDIRECCIÓN DE ADQUISICIONES,jucuahutlej@sedena.gob.mx,ADQUISICION DE PROTESIS Y AUXILIARES DE LA MARCHA PARA MILITARES,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2025,NO,13/12/2024 13:26,"21101,23201,23701,25101,25401,25501,25601,27101,29101,29801",NO,NO,NO,ADQUISICIONES,NO,CONFORME A LAS BASES DE LA CONVOCATORIA,10,12,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/92e14f56501a44d59ef56aa6aa222d83/procedimiento,18/01/2025
E-2024-00090814,LA-50-GYR-050GYR027-T-20-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR027 OFICINA DE ADQUISICIONES DE LA DELEGACION GUANAJUATO,jorge.pantoja@imss.gob.mx,"COMSUMIBLES Y ACCESORIOS EQ. MÉD. Y TERAPIA DE ALTO FLUJO, HERIDAS PRESION 2025",LICITACIÓN PÚBLICA,GUANAJUATO,2025,NO,26/12/2024 16:58,"24601,25401,25901,29401,29501",NO,NO,NO,ADQUISICIONES,NO,DE FORMA ELECTRONICA A LOS VEINTE DIAS POSTERIORES A LA PRESENTACION DE LA FACTURA QUE AMPARE LOS BIENES,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/e0cb1233e2544a3485ade4f21b5e4b2c/procedimiento,18/01/2025
E-2024-00092989,LA-50-GYR-050GYR027-T-21-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR027 OFICINA DE ADQUISICIONES DE LA DELEGACION GUANAJUATO,jorge.pantoja@imss.gob.mx,CONSUMIBLES PARA BOMBAS DE INFUSIÓN 2025,LICITACIÓN PÚBLICA,GUANAJUATO,2025,NO,26/12/2024 17:06,25401,NO,NO,NO,ADQUISICIONES,NO,EN FORMA ELECTRONICA A LOS VEINTE DIAS POSTERIORES A LA ENTREGA DE LA FACTURA QUE AMPARE LOS BIENES ENTREGADOS,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/173aa702880b45f987eb63e3f6a4a4ee/procedimiento,18/01/2025
E-2024-00111021,LA-50-GYR-050GYR024-I-15-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR024 OOAD, ESTADO DE MEXICO PONIENTE, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",miriam.rodriguezram@imss.gob.mx,ADQUISICIÓN DE CONSUMIBLES DEL PROGRAMA BOMBAS DE INFUSIÓN 2025,LICITACIÓN PÚBLICA,MÉXICO,2025,NO,14/01/2025 10:14,25401,NO,NO,NO,ADQUISICIONES,NO,TRANSFERENCIA INTERBANCARIA,10,,SI,INTERNACIONAL ABIERTO,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/16cb7cabe8014dbcaddf2dff9a79de8e/procedimiento,18/01/2025
E-2025-00006447,LA-78-037-919058965-T-8-2025,078037 - UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN,919058965 LICITACIONES DEL HOSPITAL UNIVERSITARIO DR. JOSÉ ELEUTERIO GONZÁLEZ DE LA UANL,karina.lujanov@uanl.mx,ADQUISICIÓN DE MATERIAL MÉDICO Y DE CURACIÓN 2025 SEGUNDA VUELTA,LICITACIÓN PÚBLICA,NUEVO LEÓN,2025,NO,14/01/2025 17:14,25401,NO,NO,NO,ADQUISICIONES,NO,TRANSFERENCIA ELECTRÓNICA,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/c1860afca55d4b3684911b9e9e33cb78/procedimiento,18/01/2025
E-2024-00116954,LA-50-GYR-050GYR006-T-8-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR006 COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,josefita.lopez@imss.gob.mx,LA-50-GYR-050GYR006-T-8-2025 APARATOS DE ORTOPEDIA Y PROTESIS,LICITACIÓN PÚBLICA,PUEBLA,2025,NO,07/01/2025 19:10,25401,NO,NO,NO,ADQUISICIONES,NO,"DE CONFORMIDAD CON LO ESTABLECIDO EN LOS NUMERALES 5.5, 5.5.1 DE LAS POLÍTICAS BASES Y LINEAMIENTOS EN MATERIA DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL IMSS, EL PAGO SE EFECTUARÁ EN PESOS MEXICANOS A LOS 20 (VEINTE) DÍAS NATURALES POSTERIORES A LA ENTREGA DE LA FACTURACIÓN POR PARTE DEL LICITANTE ASIGNADO EN LA OFICINA DE TRÁMITE Y EROGACIONES, DEPENDIENTE DEL DEPARTAMENTO DE PRESUPUESTO, CONTABILIDAD Y EROGACIONES , UBICADA EN CALLE 4 NORTE 2005 COLONIA CENTRO, CP 72000 EN PUEBLA, EN U",10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,MONTO,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a56fd9a7dd1e481e9be770adcfb5295a/procedimiento,18/01/2025
E-2025-00001546,LA-51-GYN-051GYN025-N-7-2025,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN025 HOSPITAL REGIONAL LEON,hjtenorio@issste.gob.mx,ADQUISICION DE MATERIAL DE CURACION DE ALTA ESPECIALIDAD Y VIRUS SARS COV2,LICITACIÓN PÚBLICA,GUANAJUATO,2025,NO,16/01/2025 09:19,25401,NO,,NO,ADQUISICIONES,NO,PAGO EN PARCIALIDADES O DIFERIDO,10,,SI,NACIONAL,NO,MONTO,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5d038178e8fa4a2f960e6c9d09887c53/procedimiento,18/01/2025
E-2024-00117178,LA-50-GYR-050GYR076-T-1-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR076 UMAE HOSPITAL DE CARDIOLOGIA NO.34, DIRECCION ADMINISTRATIVA",jose.matamo@imss.gob.mx,ADQUISICION DE GRUPO DE SUMINISTRO 379_2025,LICITACIÓN PÚBLICA,NUEVO LEÓN,2025,NO,07/01/2025 12:42,"24601,24801,25401,25501,29101,29201,29601,29701,29801,53101,53201,56201",NO,NO,NO,ADQUISICIONES,NO,MONEDA NACIONAL,10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1352df4993f94d99b803c7d327b5c374/procedimiento,18/01/2025
E-2025-00001548,LA-51-GYN-051GYN025-N-8-2025,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN025 HOSPITAL REGIONAL LEON,hjtenorio@issste.gob.mx,"ADQUISICION DE MATERIAL, ACCESORIOS Y SUMINISTROS MEDICOS DE OSTEOSINTESIS",LICITACIÓN PÚBLICA,GUANAJUATO,2025,NO,16/01/2025 09:20,25401,NO,,NO,SERVICIOS,NO,PAGO EN PARCIALIDADES O DIFERIDO,10,,SI,NACIONAL,NO,MONTO,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/0f124917b97b413996aadd223ef79d89/procedimiento,18/01/2025
E-2024-00118254,LA-50-GYR-050GYR063-T-9-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR063 HOSPITAL DE ESPECIALIDADES DEL CMN IGNACIO GARCIA TELLEZ EN MERIDA, YUCATAN",jorge.marine@imss.gob.mx,ADQUISICION DE MATERIALES DE OSTEOSINTESIS Y ENDOPRÓTESIS 2025,LICITACIÓN PÚBLICA,YUCATÁN,2025,NO,16/01/2025 16:35,"24601,25401",NO,,NO,ADQUISICIONES,NO,"LA FORMA DE PAGO SERÁ POR SERVICIO DEVENGADO, CONFORME A LO ESTABLECIDO EN LA LEY DE POLÍTICAS, BASES Y LINEAMIENTOS EN MATERIA DE ADQUISICIONES, ARRENDAMIENTOS Y SERVICIOS DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL. EL PAGO SE REALIZARÁ DE ACUERDO CON LOS PLAZOS Y REQUISITOS EN EL ANEXO 2 NORMATIVIDAD DE CUENTAS CONTABLES EMITIDOS POR LA DIRECCIÓN DE FINANZAS. “PROCEDIMIENTO PARA LA RECEPCIÓN, GLOSA Y APROBACIÓN DE DOCUMENTOS PRESENTADOS PARA TRÁMITE DE PAGO”",10,12,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ac4ef6de3e05495f8bfab820ea28602f/procedimiento,18/01/2025
E-2024-00115036,LA-50-GYR-050GYR049-T-5-2025,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"050GYR049 UMAE DR. VICTORIO DE LA FUENTE NARVAEZ CIUDAD DE MEXICO, DIRECCION",alejandro.rodriguezl@imss.gob.mx,MATERIAL DE OSTEOSINTESIS,LICITACIÓN PÚBLICA,CIUDAD DE MÉXICO,2025,NO,09/01/2025 09:46,25401,NO,,NO,ADQUISICIONES,NO,"EL PAGO SE REALIZARA MEDIANTE TRASFERENCIA ELECTRÓNICA DE FONDOS, A TRAVÉS DEL ESQUEMA ELECTRÓNICO INTERBANCARIO QUE EL IMSS TIENE EN OPERACIÓN, A MENOS QUA IMPOSIBILIDAD PARA ELLO EL PROVEEDOR ACREDITE EN FORMA FEHACIENTE LA IMPOSIBILIDAD PARA ELLO",10,,SI,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,NO,CANTIDAD,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/336f832c4d1a4bf382cbfbc73811a40f/procedimiento,18/01/2025
